latitude,longitude,real_elevation,terrain_slope
-2.5,34.5,1280.3,3.19
-2.5,34.6,1278.8,2.18
-2.5,34.7,1298.0,2.52
-2.5,34.8,1294.2,3.5
-2.5,34.9,1304.1,5.21
-2.5,35.0,1309.9,2.88
-2.5,35.1,1308.1,4.79
-2.5,35.2,1307.0,2.72
-2.5,35.3,1299.6,2.34
-2.5,35.4,1272.0,1.44
-2.5,35.5,1280.3,2.85
-2.4,34.5,1273.0,1.6
-2.4,34.6,1311.1,4.25
-2.4,34.7,1328.5,1.07
-2.4,34.8,1331.2,2.06
-2.4,34.9,1363.1,1.26
-2.4,35.0,1366.4,0.97
-2.4,35.1,1350.0,3.81
-2.4,35.2,1326.6,3.81
-2.4,35.3,1326.1,1.86
-2.4,35.4,1297.3,4.71
-2.4,35.5,1268.9,2.76
-2.3,34.5,1298.1,3.15
-2.3,34.6,1306.0,3.54
-2.3,34.7,1343.0,3.65
-2.3,34.8,1365.2,2.17
-2.3,34.9,1376.4,7.11
-2.3,35.0,1375.5,7.29
-2.3,35.1,1386.0,4.43
-2.3,35.2,1363.3,4.63
-2.3,35.3,1319.6,5.32
-2.3,35.4,1316.3,1.31
-2.3,35.5,1293.7,2.83
-2.2,34.5,1304.2,1.88
-2.2,34.6,1323.2,3.61
-2.2,34.7,1373.9,2.73
-2.2,34.8,1411.5,2.74
-2.2,34.9,1433.9,5.67
-2.2,35.0,1457.7,8.02
-2.2,35.1,1424.0,5.04
-2.2,35.2,1404.9,2.58
-2.2,35.3,1362.1,6.56
-2.2,35.4,1333.9,1.58
-2.2,35.5,1316.2,0.68
-2.1,34.5,1300.2,4.79
-2.1,34.6,1349.4,5.48
-2.1,34.7,1374.6,6.05
-2.1,34.8,1426.8,5.71
-2.1,34.9,1473.9,2.17
-2.1,35.0,1512.2,8.28
-2.1,35.1,1469.8,9.93
-2.1,35.2,1434.6,2.05
-2.1,35.3,1386.3,2.49
-2.1,35.4,1316.5,4.55
-2.1,35.5,1315.5,1.08
-2.0,34.5,1317.3,2.18
-2.0,34.6,1358.5,0.84
-2.0,34.7,1402.5,1.79
-2.0,34.8,1446.5,2.23
-2.0,34.9,1521.0,6.39
-2.0,35.0,1600.6,10.23
-2.0,35.1,1507.4,1.12
-2.0,35.2,1440.5,4.54
-2.0,35.3,1382.9,6.96
-2.0,35.4,1349.7,0.95
-2.0,35.5,1320.8,0.5
-1.9,34.5,1316.0,0.63
-1.9,34.6,1340.9,0.72
-1.9,34.7,1373.4,7.62
-1.9,34.8,1433.8,0.8
-1.9,34.9,1470.2,11.13
-1.9,35.0,1529.9,2.67
-1.9,35.1,1468.2,1.02
-1.9,35.2,1433.0,0.94
-1.9,35.3,1378.9,3.68
-1.9,35.4,1332.8,3.88
-1.9,35.5,1321.5,2.77
-1.8,34.5,1299.6,4.45
-1.8,34.6,1322.0,2.78
-1.8,34.7,1355.4,6.44
-1.8,34.8,1412.3,8.09
-1.8,34.9,1438.7,5.18
-1.8,35.0,1448.8,1.5
-1.8,35.1,1456.7,8.18
-1.8,35.2,1393.6,2.04
-1.8,35.3,1362.0,7.14
-1.8,35.4,1338.3,2.2
-1.8,35.5,1300.0,3.58
-1.7,34.5,1291.9,3.46
-1.7,34.6,1306.0,3.17
-1.7,34.7,1329.4,0.61
-1.7,34.8,1365.7,5.55
-1.7,34.9,1383.6,4.82
-1.7,35.0,1395.3,7.81
-1.7,35.1,1372.9,1.94
-1.7,35.2,1366.9,2.11
-1.7,35.3,1333.0,1.52
-1.7,35.4,1301.2,1.71
-1.7,35.5,1287.3,0.93
-1.6,34.5,1285.0,2.34
-1.6,34.6,1323.6,4.29
-1.6,34.7,1330.4,2.6
-1.6,34.8,1334.4,2.64
-1.6,34.9,1348.6,6.33
-1.6,35.0,1353.6,5.39
-1.6,35.1,1344.0,1.3
-1.6,35.2,1328.8,3.7
-1.6,35.3,1318.0,1.2
-1.6,35.4,1299.5,2.3
-1.6,35.5,1276.5,3.05
-1.5,34.5,1262.4,0.34
-1.5,34.6,1273.2,0.84
-1.5,34.7,1295.0,1.66
-1.5,34.8,1288.6,2.88
-1.5,34.9,1315.2,3.62
-1.5,35.0,1340.6,4.23
-1.5,35.1,1308.9,0.51
-1.5,35.2,1309.8,2.61
-1.5,35.3,1298.2,0.82
-1.5,35.4,1282.3,0.34
-1.5,35.5,1267.8,2.48
