event_id,zone_id,latitude,longitude,temperature,humidity,rainfall,animal_density_score,distance_to_road,distance_to_water,distance_to_ranger_station,elevation,hour,month,season,species,historical_incident_count,acoustic_risk,poaching_incident,real_temperature,real_rainfall,real_humidity,real_elevation,terrain_slope,reserve_proximity,road_density,species_occurrence_density
evt_fe6f8de2,ZONE_E03,-1.68199,34.99304,20.3,58.9,0.0,39,32570.5,25149.6,35370.1,1355.8,0,1,Short Dry,Rhino,3,0.3,0,26.3,0.0,55.7,1395.3,7.81,0.0,0.07206273575157286,156.02000000000004
evt_49e0eae6,ZONE_E01,-1.53755,34.53186,20.9,62.0,0.0,35,18693.5,41711.9,73152.9,1248.2,0,1,Short Dry,Elephant,2,0.28,0,26.3,0.0,55.7,1262.4,0.34,5611.493560687087,0.05374877931843965,54.1
evt_39c3e277,ZONE_A01,-2.48341,34.63992,21.9,59.4,0.0,33,6687.9,42863.6,10280.7,1335.6,0,1,Short Dry,Buffalo,24,0.39,0,26.3,0.0,55.7,1278.8,2.18,0.0,0.038958856210855014,162.62
evt_0e347dfe,ZONE_E05,-1.63764,35.40595,18.6,64.9,0.0,34,73656.8,66589.1,4236.9,1302.7,0,1,Short Dry,Zebra,12,0.41,0,26.3,0.0,55.7,1299.5,2.3,0.0,0.09148682606665799,275.15000000000003
evt_4ebd0575,ZONE_B02,-2.10282,34.86079,18.5,57.5,0.0,38,17897.5,28980.5,19235.8,1478.6,0,1,Short Dry,Zebra,33,0.34,0,26.3,0.0,55.7,1473.9,2.17,0.0,0.38364370163748734,187.01999999999998
evt_6f6c8671,ZONE_C03,-2.05294,34.94968,18.4,58.1,0.0,36,27471.4,32265.5,8119.6,1527.6,0,1,Short Dry,Buffalo,2,0.37,0,26.3,0.0,55.7,1473.9,2.17,0.0,0.026272475714661667,227.32
evt_476f4f30,ZONE_C01,-1.90634,34.56424,19.2,55.2,0.0,38,15089.4,21897.8,49533.9,1351.9,0,1,Short Dry,Zebra,1,0.31,0,26.3,0.0,55.7,1340.9,0.72,8859.8501676748,0.020461328528360988,198.42999999999998
evt_29fe68b8,ZONE_E05,-1.59389,35.31141,19.1,58.3,0.0,30,67965.0,61287.4,9870.6,1350.5,0,1,Short Dry,Zebra,12,0.27,0,26.3,0.0,55.7,1318.0,1.2,0.0,0.06239430525481727,181.81
evt_82abae1d,ZONE_C02,-1.99111,34.71593,20.1,58.2,0.0,20,1775.8,17679.2,31584.0,1376.7,0,1,Short Dry,Zebra,2,0.36,0,26.3,0.0,55.7,1402.5,1.79,0.0,0.08927106143843686,83.94
evt_7dcda284,ZONE_D02,-1.75162,34.80142,18.1,54.1,0.0,47,11297.4,5382.4,35353.1,1362.9,0,1,Short Dry,Buffalo,5,0.36,0,26.3,0.0,55.7,1412.3,8.09,0.0,0.043417033821136,122.74000000000001
evt_516407dd,ZONE_E02,-1.54856,34.73503,22.3,56.5,0.0,29,3987.6,28876.9,58199.1,1332.1,0,1,Short Dry,Zebra,1,0.31,0,26.3,0.0,55.7,1295.0,1.66,8785.664802691963,0.023276197679328127,106.78
evt_a86a4e92,ZONE_A02,-2.43383,34.79096,22.2,57.9,0.0,32,10119.9,42756.4,21545.7,1309.8,0,1,Short Dry,Zebra,20,0.31,0,26.3,0.0,55.7,1331.2,2.06,7736.020591008674,0.0392083953645812,228.33
evt_35cfd62b,ZONE_A05,-2.31516,35.3432,18.5,61.3,0.0,29,1832.5,20423.7,51791.7,1378.0,0,1,Short Dry,Zebra,4,0.45,1,26.3,0.0,55.7,1319.6,5.32,3098.019509672789,0.027180958390533846,111.14
evt_d12dc5d1,ZONE_E05,-1.54455,35.32805,17.0,52.6,0.0,37,69812.4,65204.0,10097.8,1281.5,0,1,Short Dry,Elephant,12,0.37,1,26.3,0.0,55.7,1298.2,0.82,0.0,0.053703243029881116,59.89
evt_ee36701f,ZONE_D01,-1.86435,34.54284,19.2,61.0,0.0,33,17469.6,26961.6,52996.9,1371.7,0,1,Short Dry,Buffalo,3,0.35,0,26.3,0.0,55.7,1316.0,0.63,0.0,2.6872202412701363,242.09
evt_63057bb3,ZONE_E05,-1.55901,35.49827,20.6,62.3,0.0,39,82394.8,78606.2,11835.8,1250.6,0,1,Short Dry,Zebra,12,0.43,0,26.3,0.0,55.7,1276.5,3.05,9554.920876104883,0.028558269719826553,179.85999999999999
evt_fd441cc0,ZONE_B01,-2.16512,34.53313,19.2,59.5,0.0,32,15022.1,10375.0,27153.4,1321.4,0,1,Short Dry,Buffalo,31,0.36,0,26.3,0.0,55.7,1304.2,1.88,10346.019142332212,0.04617882979948578,82.26
evt_3e344f41,ZONE_D01,-1.75248,34.55539,18.6,61.4,0.0,33,16094.4,27695.0,56560.0,1308.1,0,1,Short Dry,Zebra,3,0.38,0,26.3,0.0,55.7,1322.0,2.78,0.0,0.36307959873211876,162.0
evt_645ae818,ZONE_E04,-1.67853,35.25909,18.9,55.4,0.0,31,62144.0,52782.5,17931.7,1351.2,0,1,Short Dry,Elephant,10,0.38,0,26.3,0.0,55.7,1333.0,1.52,0.0,0.13277492845606914,89.49000000000001
evt_4b9d8c72,ZONE_B01,-2.25455,34.51463,19.3,61.6,0.0,36,5094.9,19629.0,18749.9,1354.3,0,1,Short Dry,Buffalo,31,0.32,0,26.3,0.0,55.7,1298.1,3.15,0.0,0.04330861950030614,127.37
evt_53a47f14,ZONE_C05,-2.04044,35.46482,18.5,60.2,4.4,37,28868.9,34361.9,49501.4,1300.3,0,1,Short Dry,Zebra,3,0.34,0,26.3,0.0,55.7,1320.8,0.5,0.0,0.08075458268540758,43.55
evt_1d13fc12,ZONE_C03,-1.99678,35.07267,20.9,61.0,14.9,33,33716.9,26661.2,8083.6,1517.1,0,1,Short Dry,Zebra,2,0.37,0,26.3,0.0,55.7,1507.4,1.12,7949.399329501841,0.025080832092195415,178.11999999999998
evt_c0761c05,ZONE_B04,-2.12403,35.24637,18.5,57.8,0.0,37,19591.1,9895.1,30655.1,1448.3,0,1,Short Dry,Zebra,0,0.39,0,26.3,0.0,55.7,1434.6,2.05,1039.7330253869447,0.04347311476082172,59.42
evt_d67d412a,ZONE_D02,-1.73365,34.73757,20.1,56.6,1.9,37,4297.6,10128.4,41566.9,1361.4,0,1,Short Dry,Lion,5,0.33,0,26.3,0.0,55.7,1329.4,0.61,10205.730884346638,0.06763017917002401,41.26
evt_c2a184e4,ZONE_B05,-2.14936,35.39389,17.8,63.7,0.0,31,16756.8,22267.8,46814.7,1309.6,0,1,Short Dry,Zebra,6,0.28,0,26.3,0.0,55.7,1316.5,4.55,0.0,0.2056439943613632,164.34
evt_0e75af95,ZONE_D04,-1.75235,35.234,18.8,56.7,0.0,31,59356.7,48526.0,25047.5,1359.1,0,1,Short Dry,Zebra,15,0.39,0,26.3,0.0,55.7,1393.6,2.04,0.0,0.031696876161844995,87.49000000000001
evt_96d03893,ZONE_A02,-2.39387,34.7435,19.5,60.6,0.0,34,4853.6,36359.0,15956.5,1372.7,0,1,Short Dry,Zebra,20,0.3,0,26.3,0.0,55.7,1328.5,1.07,1363.8320224569331,0.030090719980689087,45.81
evt_43845569,ZONE_B03,-2.28929,34.90617,18.7,60.1,0.0,22,1210.9,34123.6,33815.3,1376.2,0,1,Short Dry,Zebra,4,0.4,0,23.9,0.0,63.7,1376.4,7.11,0.0,0.6299250068678005,119.46
evt_019c44a5,ZONE_E04,-1.6309,35.21528,16.8,59.5,0.0,39,57281.4,49839.5,20817.1,1305.9,0,1,Short Dry,Zebra,10,0.3,0,23.9,0.0,63.7,1328.8,3.7,0.0,0.09766442239872734,214.87000000000003
