event_id,zone_id,latitude,longitude,temperature,humidity,rainfall,animal_density_score,distance_to_road,distance_to_water,distance_to_ranger_station,elevation,hour,month,season,species,historical_incident_count,acoustic_risk,poaching_incident
evt_b7a437a9,ZONE_D02,-1.77281,34.76923,17.5,55.2,0.0,45,7739.3,4564.6,35999.0,1350.0,0,1,Short Dry,Zebra,1,0.41,0
evt_12c3514d,ZONE_B04,-2.28605,35.15053,18.1,66.8,0.0,26,1576.8,11034.8,35936.7,1356.2,3,1,Short Dry,Buffalo,1,0.4,0
evt_a7e7acec,ZONE_A05,-2.47942,35.46991,19.3,57.7,0.0,39,19979.1,43180.7,74618.0,1285.5,4,1,Short Dry,Buffalo,7,0.29,0
evt_24203f5c,ZONE_B01,-2.28766,34.68182,20.6,57.9,0.0,20,1387.3,22761.6,15449.4,1340.8,5,1,Short Dry,Elephant,29,0.24,0
evt_6bfaeb8f,ZONE_A04,-2.43063,35.14752,19.9,58.6,0.0,37,14538.2,26299.1,50611.3,1324.2,5,1,Short Dry,Lion,0,0.27,0
evt_63c117b1,ZONE_C03,-2.02659,34.99413,19.7,56.3,0.0,35,30405.5,29918.9,3028.0,1601.6,5,1,Short Dry,Zebra,3,0.21,0
evt_92988fdf,ZONE_B01,-2.26723,34.59061,19.3,58.4,0.0,28,3777.9,18624.2,14800.3,1331.8,5,1,Short Dry,Zebra,29,0.15,0
evt_01248993,ZONE_B05,-2.11754,35.48323,22.9,54.9,0.0,33,20292.9,32780.0,55265.8,1381.5,7,1,Short Dry,Zebra,5,0.21,0
evt_80547e41,ZONE_D02,-1.85755,34.81878,21.1,56.4,0.0,35,13246.2,6731.2,25621.6,1396.9,7,1,Short Dry,Zebra,1,0.21,0
evt_193e5d8c,ZONE_D02,-1.83003,34.78542,24.6,44.8,6.2,47,9500.9,3712.0,30428.5,1389.8,8,1,Short Dry,Zebra,1,0.21,0
evt_cd576cef,ZONE_C01,-2.05985,34.62204,23.6,43.4,7.7,38,8718.8,5092.3,37902.4,1397.3,9,1,Short Dry,Zebra,1,0.22,0
evt_00c08793,ZONE_C03,-2.01932,34.94206,29.9,41.2,0.0,39,26918.5,29051.9,6787.6,1594.0,12,1,Short Dry,Zebra,3,0.15,0
evt_0cd96db4,ZONE_A03,-2.3689,35.08234,26.7,47.7,0.0,31,7733.2,22882.1,42027.5,1329.7,13,1,Short Dry,Elephant,6,0.15,0
evt_e70d23e1,ZONE_D02,-1.76308,34.80857,29.5,45.0,0.0,49,12069.1,4214.7,33862.3,1375.1,13,1,Short Dry,Buffalo,1,0.17,0
