Feature,Importance
historical_incident_count,0.13161504
species_Zebra,0.121099986
species_Elephant,0.090320826
acoustic_risk,0.088538304
distance_to_road,0.07936091
species_Buffalo,0.064953335
hour_cos,0.051157918
species_Rhino,0.050131343
species_Lion,0.030340554
animal_density_score,0.027549777
distance_to_ranger_station,0.021890266
latitude,0.020594893
longitude,0.020200912
elevation,0.017387815
distance_to_water,0.01736088
temperature,0.017335035
humidity,0.016908336
month_cos,0.016431995
season_Short Wet,0.015756063
hour_sin,0.0155406
month_sin,0.015348773
species_None Detected,0.01508841
rainfall,0.014788488
season_Dry,0.014015158
season_Wet,0.013679477
season_Short Dry,0.012604937
